tag_id,name,category,count,zh_name
9999999,general,9,1589178,全年龄
9999998,sensitive,9,3994361,敏感
9999997,questionable,9,892496,轻微
9999996,explicit,9,706509,露骨
470575,1girl,0,5113288,1女孩
212816,solo,0,4253220,单人
13197,long_hair,0,3645082,长发
8601,breasts,0,2889545,胸部
469576,looking_at_viewer,0,2696730,看向观众
3389,blush,0,2496356,脸红
1815,smile,0,2365730,微笑
11906,open_mouth,0,1950469,张嘴
15080,short_hair,0,1904624,短发
10959,blue_eyes,0,1490640,蓝瞳
412368,simple_background,0,1420030,简单背景
12590,shirt,0,1382452,衬衫
403247,large_breasts,0,1333379,巨乳
429,skirt,0,1328225,裙子
87788,blonde_hair,0,1311581,金发
566835,multiple_girls,0,1309199,多名女孩
16867,brown_hair,0,1267072,棕发
13200,black_hair,0,1225953,黑发
383159,long_sleeves,0,1199349,长袖
380350,hair_ornament,0,1175185,头饰
515193,white_background,0,1161729,白色背景
540830,1boy,0,1129709,1男孩
5735,gloves,0,1113040,手套
8526,red_eyes,0,1081613,红瞳
2241,dress,0,1046050,连衣裙
1882,thighhighs,0,1034635,过膝袜
2373,hat,0,1034610,帽子
375387,holding,0,1022399,手持
4563,bow,0,984380,蝴蝶结
9294,navel,0,974528,肚脐
6126,animal_ears,0,950191,兽耳
464575,ribbon,0,937186,丝带
658573,hair_between_eyes,0,922798,眼间刘海
572080,closed_mouth,0,876401,闭唇
1821,2girls,0,860944,2女孩
4607,cleavage,0,848453,乳沟
16613,jewelry,0,829749,首饰
376054,bare_shoulders,0,815753,露肩
417660,very_long_hair,0,783428,超长发
12289,sitting,0,782247,坐姿
1709,twintails,0,770972,双马尾
667868,medium_breasts,0,770389,中等胸部
16578,brown_eyes,0,747352,棕色眼睛
15675,standing,0,733225,站立
8889,nipples,0,717669,乳头
10960,green_eyes,0,711390,绿色眼睛
464906,underwear,0,706352,内衣
10953,blue_hair,0,704952,蓝发
3843,jacket,0,700303,夹克
16509,school_uniform,0,688100,校服
15654,purple_eyes,0,669153,紫色眼睛
466499,collarbone,0,655630,锁骨
15674,tail,0,634183,尾巴
376766,white_shirt,0,629056,白衬衫
608813,full_body,0,624413,全身
547463,upper_body,0,595301,上半身
391,panties,0,580171,内裤
465619,closed_eyes,0,570045,闭眼
89189,yellow_eyes,0,565375,黄色眼睛
444,swimsuit,0,564464,泳装
16581,white_hair,0,563701,白发
11429,pink_hair,0,551851,粉发
1681,monochrome,0,547787,黑白
16580,grey_hair,0,529760,灰发
3522,ahoge,0,528662,呆毛
4334,braid,0,525679,辫子
464561,hair_ribbon,0,525639,发带
16442,purple_hair,0,524002,紫发
1300281,male_focus,0,516211,男性聚焦
2355,ponytail,0,514797,马尾
8101,ass,0,513666,臀部
464559,flower,0,512140,花
11449,weapon,0,506828,武器
390728,multicolored_hair,0,501249,多色发
472154,short_sleeves,0,499860,短袖
484168,sidelocks,0,484224,鬓发
63,comic,0,474986,漫画
622137,hetero,0,472134,异性恋
2750,heart,0,467808,心形
3870,thighs,0,465668,大腿
384553,:d,0,464842,:d(表情)
374844,hair_bow,0,455229,发饰蝴蝶结
2363,pantyhose,0,441476,连裤袜
13879,outdoors,0,439693,户外
660909,cowboy_shot,0,438408,牛仔镜头
13804,earrings,0,434737,耳环
513837,greyscale,0,432002,灰度
6539,bikini,0,426322,比基尼
4569,sweat,0,425602,汗水
5403,red_hair,0,424264,红发
2365,nude,0,422321,裸体
383282,pleated_skirt,0,416655,百褶裙
465265,small_breasts,0,413326,小胸部
194013,frills,0,401738,荷叶边
2376,hairband,0,397872,发箍
664375,parted_lips,0,396122,微张嘴唇
4352,censored,0,388593,打码
5827,boots,0,384723,靴子
375669,open_clothes,0,384414,敞开衣服
301022,lying,0,380092,躺着
2785,horns,0,374048,角
6054,teeth,0,370407,牙齿
568656,multiple_boys,0,367969,多名男孩
2866,wings,0,366146,翅膀
1575,food,0,362486,食物
384774,necktie,0,360748,领带
461042,one_eye_closed,0,359739,单眼闭
387884,detached_sleeves,0,358429,分离袖
406,sky,0,357335,天空
4190,penis,0,346918,阴茎
3985,shorts,0,345909,短裤
8388,green_hair,0,345032,绿发
1707,japanese_clothes,0,344888,和服
8672,shoes,0,343802,鞋子
400314,sleeveless,0,341431,无袖
474820,black_gloves,0,331176,黑色手套
431446,alternate_costume,0,330775,换装
478849,collared_shirt,0,321941,立领衬衫
4025,choker,0,320504,项圈
11826,barefoot,0,316857,赤脚
4378,pussy,0,313579,阴部
1731,socks,0,309931,袜子
6532,glasses,0,309385,眼镜
10863,tongue,0,309295,舌头
15522,pointy_ears,0,307225,尖耳朵
931006,solo_focus,0,304477,单人聚焦
10926,pants,0,303036,裤子
435324,day,0,294620,白天
1407561,virtual_youtuber,0,287601,虚拟主播
268819,serafuku,0,285501,水手服
375171,indoors,0,281809,室内
581144,puffy_sleeves,0,281250,泡泡袖
657955,artist_name,0,280968,画师名
2646,hairclip,0,280648,发夹
426781,medium_hair,0,273659,中长发
9864,belt,0,271864,腰带
1793,fang,0,269175,虎牙
455880,black_thighhighs,0,266928,黑色过膝袜
539367,hand_up,0,265393,举手
10228,elbow_gloves,0,265300,肘套
9843,midriff,0,258987,露腰
410129,looking_back,0,245547,回头
464549,cloud,0,244228,云
474821,white_gloves,0,242027,白手套
411263,signature,0,238587,签名
11628,bowtie,0,236148,蝴蝶结领结
5948,hood,0,235850,兜帽
401228,sword,0,235273,剑
374628,black_skirt,0,233282,黑裙
71730,dark_skin,0,233165,深色皮肤
449194,2boys,0,232894,2男孩
